SqFtTotLiving_x1000,SqFtLot_x1000,SqFtDriveway_x1000,Bathrooms,Bedrooms,AdjSalePrice_x100000
1.4,19.57,1,1.0,2,2.51036
0.7,8.14,1,1.0,1,2.06648
0.88,9.0,1,1.0,2,1.90438
0.88,9.0,1,1.0,2,1.16525
2.73,10.498,1,2.5,4,4.92882
1.5,9.282,1,1.0,5,2.3409
1.97,10.08,1,1.5,3,2.20187
3.67,9.18,1,4.25,6,2.72553
2.22,8.04,1,1.75,4,3.0527
1.25,7.201,1,1.75,3,2.11725
1.42,8.336,1,1.5,3,4.0686800000000005
2.16,8.285,1,2.5,4,4.22651
1.15,7.984,1,1.0,3,3.48005
2.52,13.042,1,3.0,5,4.5103599999999995
2.18,9.52,1,2.5,4,4.36969
1.9,8.408,1,2.5,4,3.51664
3.34,15.295,1,2.5,4,6.21115
2.48,13.125,1,2.5,5,3.86081
2.6,5.875,1,2.75,3,8.15493
1.56,5.0,1,1.75,2,6.90928
2.88,5.0,1,2.0,4,6.261369999999999
1.83,3.44,1,1.5,3,7.0406
2.48,6.0,1,1.75,5,5.4865
1.81,7.045,1,2.5,4,4.22578
1.59,6.3,1,1.75,3,4.540430000000001
1.85,6.55,1,2.0,3,4.33979
1.81,6.55,1,1.5,3,3.1663200000000002
2.21,6.6,1,2.5,4,3.20102
1.68,6.5,1,1.75,3,5.23908
1.81,6.55,1,1.5,3,5.052169999999999
1.37,6.55,1,1.75,3,3.95033
1.37,6.55,1,1.75,3,4.52454
1.72,6.55,1,2.0,4,5.03121
1.08,6.419,1,1.0,2,3.2561400000000003
2.81,4.109,1,3.0,4,7.154910000000001
2.11,4.109,1,1.75,4,5.97773
2.11,4.109,1,1.75,4,6.85589
1.18,5.04,1,1.0,2,2.28138
1.1,9.452,1,1.75,3,1.7069299999999998
1.26,11.475,1,1.0,4,3.30257
2.93,10.45,1,2.5,7,2.10434
1.37,18.09,1,1.0,3,2.8525
1.98,7.8,1,2.5,3,4.24456
1.98,7.8,1,2.5,3,3.8142300000000002
1.32,8.5,1,1.5,3,3.0421
1.53,4.761,1,1.5,3,5.72063
1.59,4.0,1,1.0,4,5.45179
2.28,6.0,1,2.5,4,9.31588
3.08,4.0,1,2.5,5,8.68994
4.61,17.584,1,4.0,5,11.77892
4.63,14.205,1,3.5,4,10.41801
3.55,15.151,1,3.75,4,9.89842
3.55,15.151,1,3.75,4,9.28058
4.54,19.098,1,3.5,5,11.59192
4.46,16.271,1,3.5,4,11.25773
4.22,17.679,1,4.25,4,11.96462
4.16,15.644,1,4.5,4,10.746939999999999
4.33,15.709,1,3.5,4,12.058710000000001
3.95,14.837,1,3.5,4,12.53603
3.72,7.338,1,4.25,5,10.426689999999999
3.55,7.845,1,3.5,4,8.97141
3.15,7.121,1,2.5,4,7.8624600000000004
3.21,8.938,1,2.5,4,7.629689999999999
3.23,7.331,1,2.5,4,7.66295
3.32,8.03,1,3.75,4,9.41612
4.07,8.727,1,3.5,4,9.8228
3.74,6.998,1,3.5,4,8.374
3.19,7.38,1,4.25,5,9.15756
3.28,7.422,1,3.25,4,9.65576
3.1,9.924,1,2.75,4,7.82636
3.28,8.448,1,4.0,4,9.874080000000001
3.51,12.297,1,3.5,4,9.81467
3.51,12.297,1,3.5,4,9.80305
3.5,9.473,1,3.5,3,9.7491
3.49,6.565,1,3.25,4,8.43907
4.1,11.736,1,3.5,4,9.36207
3.55,9.75,1,3.75,4,9.10956
3.78,10.145,1,2.5,4,8.39124
3.15,12.364,1,2.5,4,8.07122
3.48,7.339,1,2.5,4,8.28132
4.1,8.074,1,3.75,5,9.19943
4.1,8.074,1,3.75,5,10.41136
4.1,8.86,1,3.5,4,9.218119999999999
4.07,10.365,1,3.5,4,9.24409
3.56,6.098,1,3.5,4,9.00645
3.48,6.635,1,3.5,4,9.92871
3.73,8.629,1,3.0,4,8.3574
3.2,6.866,1,2.75,5,7.8891800000000005
3.2,6.866,1,2.75,5,7.677039999999999
3.49,7.024,1,3.25,4,8.33233
3.83,8.131,1,3.75,5,8.503039999999999
3.88,7.208,1,2.5,4,8.32269
3.88,7.208,1,2.5,4,7.71793
3.49,7.18,1,3.25,4,7.93098
3.2,6.713,1,2.75,5,7.72969
1.99,8.463,1,2.25,4,3.8847199999999997
2.96,7.813,1,3.5,5,3.70033
0.97,7.5,1,1.0,3,2.3563400000000003
1.23,7.504,1,2.0,4,2.6072900000000003
1.22,8.908,1,1.75,3,3.5412199999999996
1.82,7.44,1,2.5,4,3.16893
1.47,7.48,1,2.5,3,3.1531599999999997
1.75,7.84,1,1.75,4,2.4616599999999997
2.87,8.41,1,2.5,3,9.61346
2.07,5.5,1,1.75,3,5.84161
1.59,7.748,1,2.25,3,3.09841
2.04,7.35,1,2.5,3,3.3351599999999997
2.04,7.35,1,2.5,3,2.7147200000000002
1.66,7.606,1,2.25,3,3.0836099999999997
1.62,7.208,1,1.75,3,2.3537
1.66,7.334,1,2.75,4,2.6543900000000002
1.5,7.854,1,2.0,4,3.22894
1.54,7.21,1,2.0,3,3.1316
1.75,7.21,1,2.5,3,3.50124
1.73,7.224,1,2.75,3,3.0956099999999998
1.14,6.974,1,1.75,3,2.85183
1.23,6.0,1,1.75,3,3.1446099999999997
1.7,5.995,1,2.25,3,3.42142
1.43,5.999,1,2.25,3,2.98411
1.26,7.077,1,2.0,3,2.72432
1.61,6.65,1,2.0,4,3.18093
1.99,6.671,1,2.5,4,2.9005099999999997
2.33,7.802,1,2.75,4,4.04951
1.89,6.866,1,2.25,4,3.82951
0.86,8.168,1,1.0,2,3.51485
1.2,8.168,1,2.0,3,5.14846
1.2,8.168,1,2.0,3,5.37096
1.3,8.395,1,1.75,3,4.826169999999999
0.85,8.391,1,1.0,2,3.64912
1.41,8.053,1,1.0,3,4.49518
1.34,1.654,1,1.5,2,3.7217800000000003
1.82,2.9,1,3.5,4,4.65222
1.29,2.29,1,2.5,3,3.7402800000000003
1.44,1.975,1,2.5,3,4.1512
1.83,7.272,1,1.75,3,3.1766900000000002
2.24,7.0,1,2.25,3,3.3544300000000002
1.48,3.9,1,1.75,3,2.64248
1.49,6.8,1,2.5,3,3.17033
1.94,5.95,1,1.75,3,3.3324300000000004
2.01,7.5,1,2.75,3,3.45745
1.91,6.93,1,2.5,3,3.06716
1.57,9.904,1,2.25,2,3.4881599999999997
2.12,7.201,1,2.5,5,1.01306
2.11,7.561,1,2.5,5,1.01306
1.4,10.101,1,2.0,4,2.3635900000000003
0.78,9.75,1,1.0,2,1.52044
1.62,5.031,1,2.5,3,3.8147599999999997
1.62,5.992,1,2.5,3,3.6918699999999998
1.98,4.643,1,2.25,3,4.27214
1.98,4.643,1,2.25,3,4.2339
1.96,4.354,1,2.25,3,4.00294
1.51,3.577,1,2.25,3,3.9508300000000003
2.68,7.727,1,2.5,3,5.8497900000000005
2.57,5.267,1,2.5,4,5.5759099999999995
1.41,9.584,1,1.0,3,3.6210699999999996
1.56,8.456,1,1.75,3,4.49611
1.09,10.296,1,1.0,3,3.09377
1.21,13.167,1,1.0,2,3.5206699999999995
1.04,15.0,1,0.75,3,3.0241700000000002
1.17,9.848,1,1.5,3,2.5308200000000003
1.36,9.695,1,1.75,3,2.3819
1.96,3.565,1,4.25,4,6.01304
2.16,5.75,1,1.75,3,6.596989999999999
2.16,5.75,1,1.75,3,6.60497
2.75,18.91,1,2.5,5,4.55815
0.91,5.0,1,1.0,2,4.216469999999999
1.19,5.0,1,2.0,2,4.7267
0.66,4.0,1,1.0,2,1.84397
1.26,4.196,1,1.0,3,3.3875900000000003
1.2,6.8,1,1.75,3,2.98752
0.62,8.261,1,1.0,2,1.60944
0.97,13.7,1,1.0,2,3.69046
0.84,7.874,1,1.0,2,2.88445
1.3,7.2,1,1.0,3,3.38131
2.11,14.0,1,2.0,5,4.21954
1.57,10.0,1,2.0,5,3.1143099999999997
2.62,8.803,1,2.75,5,4.708559999999999
2.28,4.32,1,2.5,4,1.10965
1.8,13.187,1,2.5,3,6.86003
3.37,9.411,1,2.25,4,13.634720000000002
1.23,2.726,1,1.0,2,5.79141
1.55,3.68,1,1.75,3,4.85053
1.42,3.75,1,1.0,3,6.51746
1.24,4.0,1,1.0,3,4.926769999999999
4.7,8.212,1,4.75,7,5.83657
2.13,9.8,1,2.5,4,4.28615
1.84,11.367,1,1.5,4,4.519880000000001
2.06,10.911,1,1.75,5,4.15956
2.02,10.2,1,1.0,5,4.004519999999999
0.86,9.306,1,1.0,2,2.80645
2.1,9.004,1,3.0,4,3.9818
1.83,8.8,1,2.25,3,4.3983
2.3,14.928,1,2.75,4,4.04211
1.72,10.4,1,2.5,3,3.93905
1.53,10.731,1,1.75,3,3.8689
1.13,6.5,1,1.0,3,3.82038
2.18,4.5,1,2.75,4,3.01716
1.57,4.774,1,2.5,3,2.9794400000000003
2.02,5.0,1,2.5,4,2.86726
1.11,8.0,1,2.0,2,3.17267
1.62,9.45,1,2.25,3,2.88176
1.69,14.746,1,1.0,2,3.14434
2.45,7.667,1,4.0,4,2.35345
1.54,2.775,1,1.0,2,3.66972
2.0,2.5,1,2.5,2,6.444
1.97,6.0,1,1.75,3,6.16996
1.97,6.0,1,1.75,3,6.7199
1.68,6.435,1,2.0,4,8.26554
2.1,4.44,1,2.5,3,8.09863
2.6,6.05,1,2.75,4,7.8223899999999995
2.62,4.844,1,1.5,3,6.62588
3.09,8.239,1,3.75,4,9.14738
2.44,7.042,1,2.75,4,8.13115
2.79,4.296,1,2.5,3,8.999
2.58,7.9,1,3.0,3,7.54264
2.34,4.8,1,2.75,3,8.14289
3.07,4.44,1,3.5,4,10.34548
2.11,4.718,1,2.75,3,9.0386
2.38,1.838,1,3.25,3,10.98056
2.97,13.345,1,3.5,4,12.39648
2.85,4.497,1,2.0,4,7.2990699999999995
3.02,9.244,1,3.25,4,8.43823
1.7,6.342,1,1.75,3,3.6400099999999997
1.24,10.5,1,1.0,2,4.2015199999999995
2.78,7.875,1,3.25,4,3.1475400000000002
2.78,7.875,1,3.25,4,7.60048
0.98,7.228,1,1.0,3,3.52259
1.44,7.98,1,2.5,3,4.4962
2.08,7.35,1,2.25,3,5.23492
0.86,9.167,1,1.0,1,4.519880000000001
2.95,4.382,1,3.25,4,8.56462
1.37,1.363,1,2.25,3,3.59669
2.62,7.632,1,2.5,3,7.3075399999999995
1.24,9.375,1,1.5,3,3.3096400000000004
1.57,8.304,1,1.0,4,3.4692199999999995
1.19,3.0,1,2.5,3,3.3709
0.84,3.0,1,1.0,3,1.56905
2.64,7.0,1,3.0,5,2.89603
2.52,4.5,1,2.5,3,3.84584
2.48,4.5,1,2.5,4,4.0041400000000005
1.81,17.7,1,1.0,3,2.96414
1.88,7.5,1,2.0,4,3.01575
1.88,7.5,1,2.0,4,2.20776
2.33,7.043,1,2.5,3,5.7160400000000005
2.6,9.525,1,2.5,4,9.54916
2.25,10.16,1,2.5,4,9.52747
2.79,10.125,1,3.5,4,8.813410000000001
2.79,10.125,1,3.5,4,8.43908
1.92,9.525,1,2.25,5,6.69774
2.91,9.525,1,2.75,4,8.64609
2.91,10.125,1,2.75,4,9.38451
3.16,9.525,1,3.75,4,12.51497
1.91,9.525,1,2.75,3,7.33599
2.25,9.525,1,2.25,4,8.66095
2.16,11.43,1,2.5,3,11.1336
1.51,14.276,1,0.75,4,4.56064
1.1,15.258,1,1.5,3,3.45795
1.96,15.2,1,1.0,3,4.12209
1.14,18.678,1,1.0,3,3.62583
1.738,2.796,1,2.5,4,2.69294
1.43,15.611,1,1.5,3,2.82402
1.24,10.887,1,1.75,3,2.98976
1.24,10.956,1,1.75,3,2.92443
1.47,9.68,1,1.75,3,2.83279
1.17,8.74,1,1.75,3,4.3249699999999995
2.71,3.245,1,2.5,4,6.817360000000001
1.58,5.75,1,1.75,3,4.98001
0.97,3.393,1,1.0,2,4.8705099999999995
2.37,5.85,1,2.75,4,6.33957
1.94,6.44,1,2.0,3,6.08073
1.34,5.8,1,1.0,4,4.91066
2.24,5.85,1,2.25,5,8.005889999999999
1.39,4.292,1,1.0,2,3.8746400000000003
2.17,7.202,1,2.5,4,5.18725
2.93,5.569,1,2.75,3,5.7579400000000005
2.93,5.569,1,2.75,3,6.2209699999999994
1.93,6.346,1,2.5,3,5.685980000000001
2.34,8.111,1,2.5,3,6.0277
2.32,12.627,1,2.0,3,7.95763
2.36,7.44,1,2.5,4,5.785769999999999
2.05,9.586,1,2.25,4,6.048830000000001
1.96,8.469,1,2.5,3,5.4431
1.64,10.377,1,2.25,3,6.134119999999999
2.39,10.7,1,2.5,3,7.85965
1.9,11.216,1,2.5,3,11.09947
1.66,18.009,1,1.75,3,4.53333
1.64,17.335,1,1.0,2,3.9068699999999996
1.64,17.335,1,1.0,2,3.53114
2.12,15.297,1,2.5,3,4.82111
1.13,9.879,1,2.0,3,3.7834
1.13,9.879,1,2.0,3,3.23015
1.68,8.946,1,2.0,3,3.82726
2.26,4.087,1,2.75,4,5.174119999999999
2.43,6.099,1,2.5,4,6.45697
1.59,8.546,1,1.75,3,4.00095
2.18,8.25,1,2.5,4,4.86125
1.61,9.6,1,1.75,3,4.15956
1.61,9.6,1,1.75,3,4.53333
2.48,7.48,1,2.0,3,10.275210000000001
2.4,15.069,1,2.5,4,4.34531
3.78,5.026,1,3.5,4,8.89437
2.18,5.238,1,2.25,4,5.47585
2.04,9.478,1,2.5,4,4.32355
1.976,11.504,1,2.0,4,4.60501
1.38,7.182,1,1.0,3,3.81265
1.42,5.0,1,2.0,4,2.83182
1.45,8.04,1,1.75,3,1.2707700000000002
1.4,10.614,1,2.75,3,4.39042
2.14,6.49,1,2.75,4,4.01595
1.53,6.45,1,1.0,2,6.45697
0.72,4.0,1,1.0,2,3.9180099999999998
1.28,5.018,1,1.75,2,5.4116800000000005
1.85,6.45,1,2.5,4,7.437539999999999
2.45,4.591,1,3.0,5,4.47365
0.96,7.104,1,1.5,3,4.22598
3.37,10.973,1,3.5,4,5.72208
2.61,11.287,1,2.0,5,5.21793
2.56,10.464,1,1.75,3,5.61731
2.42,10.5,1,1.75,4,5.11857
2.63,7.14,1,2.5,4,7.9176899999999995
3.21,8.52,1,3.75,4,6.43754
1.63,7.906,1,2.0,3,4.12863
2.68,8.363,1,2.5,3,6.8896
2.98,7.63,1,2.5,3,7.8559600000000005
0.96,6.377,1,1.0,2,2.85255
3.49,16.028,1,3.0,4,6.26275
2.9,5.336,1,1.75,5,4.0275
1.29,8.8,1,1.5,3,2.97051
1.65,8.85,1,1.75,3,3.25105
1.514,16.475,1,1.5,1,3.02757
4.06,10.8,1,4.5,4,7.51703
1.52,7.35,1,1.75,4,3.11554
2.12,9.842,1,1.75,4,3.9169099999999997
2.74,5.4,1,2.5,5,3.8359
2.58,5.46,1,2.5,4,4.50018
2.51,8.775,1,1.75,4,4.2171400000000006
1.56,8.45,1,1.75,4,3.3573800000000005
2.08,7.8,1,1.75,3,4.44749
2.31,7.589,1,2.5,3,8.46026
1.3,8.4,1,1.0,4,7.04518
3.75,8.266,1,3.75,5,6.03271
1.14,9.137,1,1.0,2,7.11901
2.78,8.913,1,2.75,5,11.10977
1.1,8.724,1,1.0,2,7.0323199999999995
2.35,10.352,1,1.75,5,7.54973
1.89,11.391,1,2.0,4,4.92781
1.98,8.26,1,2.25,3,8.25671
1.35,9.293,1,1.75,4,5.98231
1.35,9.293,1,1.75,4,7.51727
2.34,7.254,1,2.5,4,5.017869999999999
2.95,8.44,1,2.5,4,3.9823
2.51,12.013,1,2.25,3,4.16306
2.51,12.013,1,2.25,3,2.43582
2.07,7.8,1,2.5,4,3.9868900000000003
3.08,19.934,1,3.0,4,13.06054
1.92,18.928,1,1.5,3,3.6834599999999997
2.47,12.994,1,3.25,4,4.435630000000001
2.45,17.4,1,2.25,3,4.86914
1.53,10.35,1,2.5,4,2.9895400000000003
1.86,4.025,1,2.5,4,4.1635800000000005
1.86,3.914,1,2.5,3,4.19295
1.88,6.032,1,1.75,3,3.96235
2.87,5.453,1,2.25,4,7.00709
2.87,5.453,1,2.25,4,6.00347
1.77,6.293,1,2.0,2,4.37655
2.51,5.297,1,2.5,4,3.82427
2.94,5.054,1,4.75,6,6.34645
2.38,6.026,1,1.75,3,4.91871
1.99,12.866,1,2.5,3,4.94261
1.85,7.154,1,2.25,3,4.7529
2.21,3.6,1,2.5,4,3.58719
1.99,3.644,1,2.5,3,3.68592
3.84,7.748,1,3.25,4,8.78929
3.75,9.437,1,2.75,3,8.83516
3.36,7.061,1,2.75,4,5.81968
3.34,8.213,1,2.75,4,5.47193
2.83,9.972,1,2.5,3,5.80171
4.04,8.653,1,2.5,3,5.5248
4.04,8.653,1,2.5,3,6.1734800000000005
3.44,9.443,1,2.5,4,5.27135
2.09,3.002,1,3.25,4,4.02294
2.1,3.574,1,2.5,3,3.80556
1.57,2.577,1,2.5,3,3.23495
1.14,7.078,1,1.75,3,2.80535
2.48,9.699,1,2.75,9,4.4275400000000005
1.82,8.422,1,1.5,3,2.53809
1.76,9.727,1,1.75,3,2.9137299999999997
1.13,13.927,1,0.75,3,2.41108
2.09,8.428,1,2.5,3,4.44209
2.24,8.2,1,2.5,4,6.08179
2.22,7.7,1,2.25,4,4.079359999999999
1.25,9.605,1,1.75,3,4.58817
2.72,9.605,1,2.75,4,6.25404
2.33,9.605,1,2.0,6,5.676080000000001
1.46,7.21,1,2.5,3,2.7269400000000004
1.25,7.21,1,1.0,3,3.61444
1.46,8.075,1,1.75,3,4.58635
1.47,10.291,1,2.0,4,4.43928
1.22,7.432,1,1.75,3,4.399380000000001
1.22,7.37,1,1.75,3,5.01152
1.73,7.7,1,2.5,4,6.2948
1.46,8.141,1,1.75,3,4.83556
1.65,8.25,1,1.0,4,4.87119
1.56,7.272,1,1.0,3,4.62979
2.13,7.21,1,2.25,4,6.1344
1.46,10.546,1,2.0,4,4.383780000000001
1.25,8.004,1,1.5,3,4.7197
1.25,8.004,1,1.5,3,4.65263
1.25,9.24,1,1.75,3,4.40992
1.01,8.034,1,1.0,2,4.23705
1.31,7.107,1,1.75,3,4.81621
2.3,3.84,1,2.75,4,7.1039
2.17,3.84,1,2.5,3,6.27197
1.54,1.607,1,2.25,3,3.7759
1.16,8.808,1,1.0,3,3.86173
1.02,8.131,1,1.0,1,3.77132
1.95,8.1,1,2.5,4,5.87294
1.02,8.1,1,1.0,2,4.30317
1.85,6.0,1,1.75,2,3.51475
1.54,9.45,1,1.75,3,4.1616
0.86,8.1,1,1.0,2,3.4051099999999996
2.07,12.0,1,2.5,5,6.666110000000001
3.08,7.296,1,2.5,3,9.016869999999999
2.96,7.68,1,2.25,5,8.36508
2.03,6.4,1,1.5,4,6.07444
2.22,6.641,1,2.0,3,8.489239999999999
1.92,4.08,1,2.0,3,8.36505
4.66,7.68,1,3.25,4,6.2950800000000005
3.24,11.415,1,2.75,3,12.71406
2.01,7.68,1,1.75,5,6.93895
2.97,7.04,1,2.5,3,11.65143
1.02,12.54,1,1.0,3,2.7747599999999997
1.87,7.0,1,2.0,4,3.19216
1.51,3.495,1,2.0,3,3.81104
1.31,2.996,1,1.5,3,4.02449
0.9,2.728,1,1.0,2,3.15991
0.9,2.837,1,1.0,2,2.8365
1.58,4.0,1,2.0,3,6.28822
2.7,7.5,1,2.5,4,3.94352
1.6,9.072,1,1.5,3,3.16771
1.94,7.5,1,1.75,4,3.5251099999999997
1.22,2.79,1,1.5,2,5.87536
3.19,12.283,1,2.25,4,6.56486
3.3,15.673,1,2.75,4,5.747730000000001
2.69,10.02,1,2.5,3,8.5453
2.12,7.888,1,2.75,4,6.3927
2.01,8.484,1,1.75,3,8.207419999999999
3.72,15.13,1,2.5,2,7.59391
2.2,10.729,1,1.75,3,7.60048
2.4,4.552,1,2.5,3,5.9972900000000005
2.8,5.368,1,2.5,4,7.29108
2.28,7.344,1,2.5,4,5.753819999999999
2.17,6.2,1,2.5,4,5.89003
1.445,1.471,1,2.25,3,4.5534099999999995
1.445,1.498,1,2.25,3,4.25084
1.09,0.964,1,2.5,2,3.49482
1.09,0.984,1,2.5,2,3.5161599999999997
1.6,2.201,1,2.5,3,4.66482
1.445,1.435,1,2.25,3,4.08129
1.09,0.923,1,2.5,2,3.7680000000000002
1.445,1.452,1,2.25,3,3.96549
1.09,1.037,1,2.5,2,3.67161
1.09,1.037,1,2.5,2,3.85834
1.09,1.068,1,2.5,2,3.64661
1.41,1.264,1,2.25,3,4.09883
1.41,1.264,1,2.25,3,3.77711
1.49,1.111,1,2.5,3,4.02425
1.53,1.708,1,2.5,3,4.62739
0.81,6.572,1,1.0,2,4.0111099999999995
1.64,7.437,1,1.75,3,5.86802
1.84,6.383,1,1.75,4,4.98654
2.27,7.627,1,1.75,4,5.27976
2.27,7.627,1,1.75,4,5.25725
2.9,5.803,1,2.75,4,6.57747
2.95,5.803,1,2.75,4,6.8
2.95,5.803,1,2.75,4,6.46226
2.9,5.803,1,2.75,4,6.40784
3.39,8.06,1,2.5,4,8.98595
3.39,8.06,1,2.5,4,8.83962
3.16,7.257,1,2.5,4,8.237860000000001
3.16,7.257,1,2.5,4,8.31205
3.51,6.745,1,2.5,4,8.42155
1.75,3.653,1,2.5,3,4.34548
2.17,3.653,1,2.5,3,4.57369
3.38,9.641,1,3.25,4,8.78525
4.19,13.494,1,3.5,4,11.23634
3.19,7.828,1,2.5,3,5.57949
3.19,7.828,1,2.5,3,6.39469
2.97,9.155,1,2.5,4,5.6162
3.19,7.587,1,2.5,3,5.47308
3.19,7.587,1,2.5,3,5.89196
3.19,7.386,1,2.5,3,5.8126
3.19,8.292,1,2.5,3,5.56376
2.97,8.119,1,2.5,4,5.5869599999999995
2.8,7.974,1,3.0,5,5.676080000000001
2.56,6.184,1,3.0,4,5.37705
2.56,6.2,1,3.0,4,5.4095699999999995
2.83,7.052,1,2.5,4,6.10049
3.19,6.826,1,2.5,3,5.80051
2.29,6.675,1,3.0,6,3.1726
1.84,7.2,1,3.0,4,3.1212
2.29,9.1,1,3.0,6,3.5749
1.66,1.634,1,2.5,3,4.97553
1.66,1.705,1,2.5,3,4.97553
1.91,14.85,1,1.75,4,3.24879
1.05,18.304,1,2.0,3,2.47517
1.05,18.304,1,2.0,3,1.82385
1.65,14.85,1,2.0,3,3.11345
0.98,14.85,1,1.0,3,2.76078
1.16,19.965,1,1.0,3,2.1364400000000003
1.8,16.6,1,1.75,3,3.24662
1.612,16.6,1,1.5,3,3.1208400000000003
1.52,15.0,1,1.0,3,2.11725
1.04,14.85,1,1.75,3,2.7669
1.81,11.306,1,2.25,3,3.70514
1.3,8.8,1,1.5,3,2.20198
1.5,5.393,1,2.25,4,2.9197900000000003
1.68,5.586,1,2.25,4,3.403
3.85,7.128,1,3.5,6,8.683860000000001
2.62,6.325,1,2.5,3,7.96318
2.83,6.095,1,2.5,4,6.6031699999999995
2.83,6.095,1,2.5,4,7.089739999999999
3.13,5.106,1,2.5,5,7.096989999999999
2.76,5.0,1,2.5,4,6.87675
2.78,5.572,1,2.5,4,6.988519999999999
2.2,4.052,1,2.5,3,3.7690099999999997
1.44,4.0,1,1.75,3,4.06919
1.51,6.356,1,1.0,3,4.14425
1.09,5.12,1,1.0,3,4.0918
1.98,5.12,1,2.0,4,5.31075
1.28,5.12,1,1.5,2,4.5625
1.28,7.102,1,1.0,3,3.41143
2.67,12.966,1,2.75,5,4.36724
2.17,7.443,1,2.5,3,3.7988800000000005
1.73,6.007,1,2.0,3,3.6359199999999996
2.85,8.206,1,2.75,4,7.547460000000001
2.33,5.262,1,2.5,3,6.11111
2.61,6.152,1,2.5,4,6.783939999999999
2.39,15.168,1,2.5,4,5.88965
2.39,15.168,1,2.5,4,5.0831
2.73,10.251,1,2.5,4,6.970689999999999
2.75,7.779,1,2.5,3,7.041339999999999
2.74,7.347,1,2.5,3,7.01612
2.73,11.356,1,2.5,4,6.56245
1.82,19.602,1,2.25,3,3.3916
1.9,19.568,1,2.75,3,9.884960000000001
2.2,16.237,1,2.25,3,8.95378
1.34,8.4,1,1.5,4,2.86077
1.39,13.5,1,2.0,3,3.16756
1.56,13.681,1,1.5,4,3.15435
0.98,13.77,1,1.0,3,2.56127
2.18,13.77,1,3.0,4,3.8330900000000003
1.64,9.234,1,2.0,3,3.6779599999999997
2.45,10.8,1,2.25,5,4.11148
2.18,7.236,1,2.5,4,4.30465
1.88,10.758,1,2.0,3,2.8359900000000002
2.9,6.165,1,2.5,5,6.62632
1.3,12.378,1,1.75,3,4.27295
1.3,10.236,1,1.0,3,3.6545199999999998
1.9,15.123,1,2.5,4,4.43968
1.92,15.124,1,2.5,3,4.917009999999999
3.53,15.286,1,2.5,4,6.80232
1.71,5.0,1,1.0,3,3.7587300000000003
1.32,5.0,1,1.0,3,2.18141
3.81,13.579,1,3.25,4,9.256739999999999
